planet_name,host_name,discovery_method,orbit_semi_major_axis,planet_radius,planet_mass,eccentricity,stellar_mass,distance,v_magnitude
TOI-2580 b,TOI-2580,Transit,0.048,17.37392009,200.23189641,0.08,1.33,379.253,11.419
TOI-2583 A b,TOI-2583 A,Transit,0.0571,14.4595851,79.45710175,0.0,1.215,566.189,12.586
TOI-2587 A b,TOI-2587 A,Transit,0.0635,12.07207221,69.28659273,0.0,1.15,373.675,11.544
TOI-2589 b,TOI-2589,Transit,0.3,12.10569916,1112.3994245,0.522,0.93,200.273,11.415
TOI-260 b,TOI-260,Transit,0.0943,1.71,4.23,0.0,0.616,20.1852,9.9
TOI-2641 b,TOI-2641,Transit,0.0607,18.10250383,122.6817651,0.18,1.16,344.045,11.693
TOI-269 b,TOI-269,Transit,0.0345,2.77,8.8,0.425,0.3917,57.0225,14.37
TOI-270 b,TOI-270,Transit,0.03197,1.206,1.58,0.034,0.386,22.4793,12.603
TOI-270 c,TOI-270,Transit,0.04526,2.355,6.15,0.027,0.386,22.4793,12.603
TOI-270 d,TOI-270,Transit,0.0721,2.133,4.78,0.032,0.386,22.4793,12.603
TOI-2714 b,TOI-2714,Transit,0.036,13.72,228.0,0.164,1.07,597.873,13.468
TOI-2796 b,TOI-2796,Transit,0.0569,17.26183028,139.84449908,0.0,1.063,350.343,12.475
TOI-2803 A b,TOI-2803 A,Transit,0.03185,18.11371281,309.88269682,0.0,1.118,494.818,12.537
TOI-2818 b,TOI-2818,Transit,0.0493,15.27784069,225.65816897,0.0,0.977,312.674,11.937
TOI-2842 b,TOI-2842,Transit,0.0475,12.84549188,117.59651059,0.0,1.135,460.995,12.59
TOI-286 b,TOI-286,Transit,0.0503,1.42,4.53,0.0,0.832,59.2293,9.866
TOI-286 c,TOI-286,Transit,0.213,1.88,3.72,0.0,0.832,59.2293,9.866
TOI-2981 b,TOI-2981,Transit,0.048,13.4,638.0,0.035,1.03,527.789,13.361
TOI-3023 b,TOI-3023,Transit,0.0505,16.43236571,197.05361234,0.0,1.12,389.916,12.252
TOI-3071 b,TOI-3071,Transit,0.0249,7.16,68.2,0.09,1.29,485.219,12.383
TOI-3235 b,TOI-3235,Transit,0.02709,11.39953337,211.35589065,0.029,0.3939,72.811,15.16
TOI-3261 b,TOI-3261,Transit,0.01714,3.82,30.3,0.0,0.861,300.141,13.261
TOI-329 b,TOI-329,Transit,0.0638,4.94057819,40.4,0.39,1.0678,284.388,11.262
TOI-332 b,TOI-332,Transit,0.0159,3.2,57.2,0.0,0.88,222.852,12.349
TOI-3321 b,TOI-3321,Transit,0.047,15.55806521,176.07693748,0.054,1.041,285.895,11.076
TOI-3331 A b,TOI-3331 A,Transit,0.03144,12.97999965,721.47048389,0.0,1.016,217.193,11.635
